127;0;1;-2
63;0;2;-2
128;1;2;0
31;0;4;-2
129;2;3;3
64;2;4;3
130;3;4;3
15;0;8;-5
131;4;5;-4
65;4;6;-4
132;5;6;0
32;4;8;-5
133;6;7;-5
66;6;8;-5
134;7;8;2
7;0;16;-5
135;8;9;2
67;8;10;-2
136;9;10;-2
33;8;12;-3
137;10;11;0
68;10;12;-3
138;11;12;-3
16;8;16;-4
139;12;13;-3
69;12;14;-4
140;13;14;-4
34;12;16;-4
141;14;15;5
70;14;16;-2
142;15;16;-2
3;0;32;-5
143;16;17;-3
71;16;18;-5
144;17;18;-5
35;16;20;-5
145;18;19;4
72;18;20;1
146;19;20;1
17;16;24;-5
147;20;21;2
73;20;22;2
148;21;22;4
36;20;24;-4
149;22;23;-4
74;22;24;-4
150;23;24;1
8;16;32;-5
151;24;25;3
75;24;26;3
152;25;26;3
37;24;28;-4
153;26;27;2
76;26;28;-4
154;27;28;-4
18;24;32;-4
155;28;29;1
77;28;30;1
156;29;30;1
38;28;32;-1
157;30;31;-1
78;30;32;-1
158;31;32;-1
1;0;64;-5
159;32;33;5
79;32;34;-4
160;33;34;-4
39;32;36;-4
161;34;35;-4
80;34;36;-4
162;35;36;0
19;32;40;-4
163;36;37;0
81;36;38;0
164;37;38;1
40;36;40;0
165;38;39;2
82;38;40;2
166;39;40;5
9;32;48;-5
167;40;41;2
83;40;42;2
168;41;42;3
41;40;44;2
169;42;43;5
84;42;44;2
170;43;44;2
20;40;48;-5
171;44;45;-5
85;44;46;-5
172;45;46;-3
42;44;48;-5
173;46;47;-5
86;46;48;-5
174;47;48;-5
4;32;64;-5
175;48;49;5
87;48;50;5
176;49;50;5
43;48;52;-2
177;50;51;1
88;50;52;-2
178;51;52;-2
21;48;56;-3
179;52;53;0
89;52;54;-2
180;53;54;-2
44;52;56;-3
181;54;55;5
90;54;56;-3
182;55;56;-3
10;48;64;-3
183;56;57;0
91;56;58;0
184;57;58;1
45;56;60;-2
185;58;59;5
92;58;60;-2
186;59;60;-2
22;56;64;-2
187;60;61;-1
93;60;62;-2
188;61;62;-2
46;60;64;-2
189;62;63;0
94;62;64;-1
190;63;64;-1
0;0;100;-5
191;64;65;0
95;64;66;-2
192;65;66;-2
47;64;68;-3
193;66;67;-3
96;66;68;-3
194;67;68;3
23;64;72;-3
195;68;69;3
97;68;70;0
196;69;70;0
48;68;72;-2
197;70;71;-1
98;70;72;-2
198;71;72;-2
11;64;76;-3
99;72;73;-3
49;72;74;-3
100;73;74;1
24;72;76;-3
101;74;75;-2
50;74;76;-2
102;75;76;0
5;64;84;-5
103;76;77;-5
51;76;78;-5
104;77;78;-1
25;76;80;-5
105;78;79;2
52;78;80;1
106;79;80;1
12;76;84;-5
107;80;81;-4
53;80;82;-4
108;81;82;3
26;80;84;-4
109;82;83;-2
54;82;84;-4
110;83;84;-4
2;64;100;-5
111;84;85;-1
55;84;86;-1
112;85;86;0
27;84;88;-2
113;86;87;-2
56;86;88;-2
114;87;88;3
13;84;92;-2
115;88;89;-1
57;88;90;-1
116;89;90;5
28;88;92;-2
117;90;91;-2
58;90;92;-2
118;91;92;1
6;84;100;-5
119;92;93;1
59;92;94;1
120;93;94;4
29;92;96;-5
121;94;95;-5
60;94;96;-5
122;95;96;-4
14;92;100;-5
123;96;97;4
61;96;98;1
124;97;98;1
30;96;100;1
125;98;99;5
62;98;100;2
126;99;100;2
